id_gejala,nama_gejala,bobot
C01,Daun keriting dan berwarna kuning,5
C02,Tanaman kerdil dan pertumbuhan terhambat,4
C03,Ada bercak coklat melingkar (seperti mata) pada buah,5
C04,Buah membusuk dan rontok,5
C05,Tanaman layu mendadak pada siang hari segar saat sore,4
C06,Akar tanaman membusuk dan berwarna coklat,4
C07,Terdapat kutu putih/kebul di balik daun,3
C08,Batang tanaman berwarna coklat kehitaman (busuk batang),4
C09,Terdapat bintik hitam melingkar pada buah cabai,5
C10,Buah cabai membusuk basah dan berair,5
C11,Daun berlubang-lubang kecil tidak beraturan,3
C12,Terdapat ulat hijau di balik daun atau dalam buah,4
C13,Ada serbuk putih seperti tepung di permukaan daun,3
